,price,speed,hd,ram,screen,cd,multi,premium,ads,trend,,alt_cd,alt_multi,alt_prem
1,1499,25,80,4,14,no,no,yes,94,1,,0,0,1
2,1795,33,85,2,14,no,no,yes,94,1,,0,0,1
3,1595,25,170,4,15,no,no,yes,94,1,,0,0,1
4,1849,25,170,8,14,no,no,no,94,1,,0,0,0
5,3295,33,340,16,14,no,no,yes,94,1,,0,0,1
6,3695,66,340,16,14,no,no,yes,94,1,,0,0,1
7,1720,25,170,4,14,yes,no,yes,94,1,,1,0,1
8,1995,50,85,2,14,no,no,yes,94,1,,0,0,1
9,2225,50,210,8,14,no,no,yes,94,1,,0,0,1
10,2575,50,210,4,15,no,no,yes,94,1,,0,0,1
11,2195,33,170,8,15,no,no,yes,94,1,,0,0,1
12,2605,66,210,8,14,no,no,yes,94,1,,0,0,1
13,2045,50,130,4,14,no,no,yes,94,1,,0,0,1
14,2295,25,245,8,14,no,no,yes,94,1,,0,0,1
15,2699,50,212,8,14,no,no,yes,94,1,,0,0,1
16,2225,50,130,4,14,no,no,yes,94,1,,0,0,1
17,1595,33,85,2,14,no,no,yes,94,1,,0,0,1
18,2325,33,210,4,15,no,no,yes,94,1,,0,0,1
19,2095,33,250,4,15,no,no,yes,94,1,,0,0,1
20,4395,66,452,8,14,no,no,yes,94,1,,0,0,1
21,1695,33,130,4,14,no,no,yes,94,1,,0,0,1
22,2795,66,130,4,14,no,no,yes,94,1,,0,0,1
23,2895,25,340,16,14,no,no,yes,94,1,,0,0,1
24,2875,50,210,4,17,no,no,yes,94,1,,0,0,1
25,4195,50,452,8,14,no,no,yes,94,1,,0,0,1
26,1290,33,80,2,14,no,no,yes,94,1,,0,0,1
27,1975,33,130,4,14,no,no,yes,94,1,,0,0,1
28,3995,33,452,8,14,no,no,yes,94,1,,0,0,1
29,3095,33,340,16,14,no,no,yes,94,1,,0,0,1
30,3244,66,245,8,14,no,no,yes,94,1,,0,0,1
31,1920,33,170,4,14,yes,no,yes,94,1,,1,0,1
32,1995,25,130,4,14,no,no,yes,94,1,,0,0,1
33,2595,33,210,8,17,no,no,yes,94,1,,0,0,1
34,2475,50,210,4,15,no,no,yes,94,1,,0,0,1
35,1999,33,170,4,14,no,no,yes,94,1,,0,0,1
36,2675,66,210,4,15,no,no,yes,94,1,,0,0,1
37,2325,66,210,8,14,no,no,yes,94,1,,0,0,1
38,3795,66,500,8,14,no,no,yes,94,1,,0,0,1
39,2405,50,210,8,14,no,no,yes,94,1,,0,0,1
40,2425,50,210,8,14,no,no,yes,94,1,,0,0,1
41,2895,50,245,8,14,no,no,yes,94,1,,0,0,1
42,3895,66,500,8,15,no,no,yes,94,1,,0,0,1
43,2499,33,212,8,14,no,no,yes,94,1,,0,0,1
44,2255,33,210,8,14,no,no,yes,94,1,,0,0,1
45,3495,50,340,16,14,no,no,yes,94,1,,0,0,1
46,2695,33,245,8,14,no,no,yes,94,1,,0,0,1
47,2195,33,130,4,14,no,no,yes,94,1,,0,0,1
48,1749,25,120,4,14,no,no,yes,94,1,,0,0,1
49,2399,50,212,4,14,no,no,yes,94,1,,0,0,1
50,1995,33,250,4,14,no,no,yes,94,1,,0,0,1
51,2499,33,170,4,14,no,no,yes,94,1,,0,0,1
52,2395,33,130,4,14,no,no,yes,94,1,,0,0,1
53,2995,66,340,8,15,no,no,yes,94,1,,0,0,1
54,2190,33,210,4,14,no,no,yes,94,1,,0,0,1
55,2199,33,212,8,14,no,no,no,94,1,,0,0,0
56,2125,50,130,4,14,no,no,yes,94,1,,0,0,1
57,2045,66,130,4,14,no,no,yes,94,1,,0,0,1
58,3075,66,210,4,17,no,no,yes,94,1,,0,0,1
59,2945,66,210,8,17,no,no,yes,94,1,,0,0,1
60,1945,50,130,4,14,no,no,yes,94,1,,0,0,1
61,3990,66,330,8,15,no,no,yes,94,1,,0,0,1
62,1795,33,170,4,15,no,no,yes,94,1,,0,0,1
63,2495,33,250,8,15,no,no,yes,94,1,,0,0,1
64,2220,33,250,4,14,yes,no,yes,94,1,,1,0,1
65,2195,66,85,2,14,no,no,yes,94,1,,0,0,1
66,1495,25,170,4,14,no,no,yes,94,1,,0,0,1
67,2325,66,130,4,14,no,no,yes,94,1,,0,0,1
68,1499,25,120,4,14,no,no,yes,94,1,,0,0,1
69,2199,33,212,4,14,no,no,yes,94,1,,0,0,1
70,3095,66,245,8,14,no,no,yes,94,1,,0,0,1
71,4020,66,500,8,14,yes,no,yes,94,1,,1,0,1
72,2725,33,210,4,17,no,no,yes,94,1,,0,0,1
73,1695,33,170,4,14,no,no,yes,94,1,,0,0,1
74,3044,50,245,8,14,no,no,yes,94,1,,0,0,1
75,2999,50,170,4,14,no,no,yes,94,1,,0,0,1
76,2844,33,245,8,14,no,no,yes,94,1,,0,0,1
77,1975,33,210,8,14,no,no,yes,94,1,,0,0,1
78,3220,66,340,8,15,yes,no,yes,94,1,,1,0,1
79,2595,50,130,4,14,no,no,yes,94,1,,0,0,1
80,1629,25,80,8,14,no,no,no,94,1,,0,0,0
81,3399,66,230,4,15,no,no,yes,94,1,,0,0,1
82,2495,33,245,8,14,no,no,yes,94,1,,0,0,1
83,2990,66,210,8,15,no,no,yes,94,1,,0,0,1
84,2720,33,250,8,15,yes,no,yes,94,1,,1,0,1
85,2595,25,245,8,14,no,no,yes,94,1,,0,0,1
86,1999,33,120,8,14,no,no,no,94,1,,0,0,0
87,2075,33,210,8,14,no,no,yes,94,1,,0,0,1
88,1795,33,130,4,14,no,no,yes,94,1,,0,0,1
89,1395,25,85,2,14,no,no,yes,94,1,,0,0,1
90,3490,50,330,8,14,no,no,yes,94,1,,0,0,1
91,2975,50,210,4,17,no,no,yes,94,1,,0,0,1
92,2145,66,130,4,14,no,no,yes,94,1,,0,0,1
93,2420,33,170,8,15,yes,no,yes,94,1,,1,0,1
94,2505,50,210,8,14,no,no,yes,94,1,,0,0,1
95,2995,66,340,16,14,no,no,yes,95,2,,0,0,1
96,1495,25,170,4,14,no,no,yes,95,2,,0,0,1
